Date,Price,Returns
2014-10-01,38.88017654418945,
2014-10-02,38.76156997680664,-0.00305056658495384
2014-10-03,39.04111099243164,0.007211808391462737
2014-10-06,39.04111099243164,0.0
2014-10-07,38.566741943359375,-0.01215050076736357
2014-10-08,39.62557601928711,0.027454589694996256
2014-10-09,38.83781433105469,-0.01988013216133422
2014-10-10,37.2961540222168,-0.039694826688668194
2014-10-13,36.97426986694336,-0.008630491902239967
2014-10-14,37.04204177856445,0.001832947935550333
2014-10-15,36.61003112792969,-0.011662711607996812
2014-10-16,36.20345687866211,-0.011105542299236215
2014-10-17,36.95734024047851,0.02082351871378152
2014-10-20,37.338497161865234,0.010313429454245515
2014-10-21,38.01616668701172,0.018149351919782397
2014-10-22,37.59263229370117,-0.011140902153484289
2014-10-23,38.134735107421875,0.01442045370713596
2014-10-24,39.07498550415039,0.02465600964789494
2014-10-27,38.88862609863281,-0.004769276382656229
2014-10-28,39.37993240356445,0.012633676069849997
2014-10-29,39.49003601074219,0.0027959318479624518
2014-10-30,39.00721740722656,-0.012226339914815143
2014-10-31,39.76958084106445,0.019544163478234955
2014-11-03,40.18464279174805,0.010436668979297403
2014-11-04,40.29476547241211,0.002740417060187905
2014-11-05,40.54039764404297,0.006095882895733151
2014-11-06,41.25193786621094,0.017551387344927116
2014-11-07,41.2349967956543,-0.0004106733267073004
2014-11-10,41.41287612915039,0.00431379525449227
2014-11-11,41.39594268798828,-0.00040889314495573537
2014-11-12,41.3197021484375,-0.0018417394217936645
2014-11-13,42.02276611328125,0.017015223447595318
2014-11-14,41.99735641479492,-0.0006046650622149041
2014-11-17,41.89570236206055,-0.0024204869404247376
2014-11-18,41.54620361328125,-0.008342114562466252
2014-11-19,41.10295867919922,-0.010668722904451755
2014-11-20,41.51211166381836,0.009954343866399151
2014-11-21,40.89839172363281,-0.014784117588517165
2014-11-24,40.565956115722656,-0.00812832959683496
2014-11-25,40.46366882324219,-0.002521505771703625
2014-11-26,40.702335357666016,0.005898292007736616
2014-11-28,40.75348281860352,0.00125662226720058
2014-12-01,41.44393157958984,0.01694207987227858
2014-12-02,41.30753707885742,-0.003291060850983185
2014-12-03,40.983638763427734,-0.007841143247329319
2014-12-04,41.63145446777344,0.01580669076470076
2014-12-05,41.2734489440918,-0.008599399859036128
2014-12-08,40.65971374511719,-0.014869976090584602
2014-12-09,40.565956115722656,-0.002305909726326827
2014-12-10,39.97780990600586,-0.014498517131926847
2014-12-11,40.20793914794922,0.005756424438567942
2014-12-12,40.02040100097656,-0.004664206894130829
2014-12-15,39.781734466552734,-0.005963621764259797
2014-12-16,38.494606018066406,-0.03235475943283739
2014-12-17,38.989013671875,0.012843556668083789
2014-12-18,40.50627899169922,0.03891520141015281
2014-12-19,40.6256103515625,0.0029459965919786946
2014-12-22,40.89839172363281,0.006714517510253648
2014-12-23,41.29902648925781,0.009795856236407774
2014-12-24,41.0347785949707,-0.0063984049201702975
2014-12-26,40.81315612792969,-0.005400844713420172
2014-12-29,40.44661712646485,-0.008980903126332929
2014-12-30,40.080074310302734,-0.009062384995413675
2014-12-31,39.59421157836914,-0.012122301175691685
2015-01-02,39.85846710205078,0.006674094852440637
2015-01-05,39.491920471191406,-0.009196204909759698
2015-01-06,38.91229248046875,-0.014677128481140445
2015-01-07,39.40666961669922,0.01270490903301602
2015-01-08,40.565956115722656,0.02941853524541882
2015-01-09,40.224998474121094,-0.008405019239011935
2015-01-12,39.7220573425293,-0.012503198276449079
2015-01-13,39.51749038696289,-0.005149958719468994
2015-01-14,39.1765251159668,-0.008628211651531936
2015-01-15,38.76737594604492,-0.010443733044488979
2015-01-16,39.41521453857422,0.01671092192133239
2015-01-20,39.54305648803711,0.003243467045898729
2015-01-21,39.14244079589844,-0.010131126112111977
2015-01-22,40.17384338378906,0.02634998142473277
2015-01-23,40.21646499633789,0.0010609294246919365
2015-01-26,40.07154846191406,-0.0036034130408285625
2015-01-27,36.36359024047851,-0.09253343990337126
2015-01-28,35.110557556152344,-0.03445844252560459
2015-01-29,35.809532165527344,0.019907818560190416
2015-01-30,34.4371452331543,-0.03832462613667431
2015-02-02,35.1872673034668,0.021782353480053418
2015-02-03,35.460044860839844,0.007752166572656094
2015-02-04,35.66461181640625,0.00576894237921044
2015-02-05,36.18458557128906,0.014579543373681503
2015-02-06,36.15049362182617,-0.0009421677469740874
2015-02-09,36.10786819458008,-0.0011791105176046646
2015-02-10,36.31246566772461,0.005666285033555152
2015-02-11,36.12493133544922,-0.005164461537572662
2015-02-12,36.730125427246094,0.01675280947047786
2015-02-13,37.39501953125,0.018102146297346744
2015-02-17,37.41218185424805,0.0004589467585036644
2015-02-18,37.3692512512207,-0.0011475033237728915
2015-02-19,37.34347915649414,-0.0006896604524748717
2015-02-20,37.652549743652344,0.008276427214052307
2015-02-23,37.90150833129883,0.00661199810747104
2015-02-24,37.84999084472656,-0.0013592463424396684
2015-02-25,37.7641487121582,-0.0022679564949040776
2015-02-26,37.824241638183594,0.0015912691818746882
2015-02-27,37.64395523071289,-0.004766424908006717
2015-03-02,37.66971969604492,0.0006844250338235991
2015-03-03,37.15463638305664,-0.01367366991696417
2015-03-04,36.96576690673828,-0.005083335343970319
2015-03-05,37.00868225097656,0.0011609482997214648
2015-03-06,36.364837646484375,-0.017397123197359976
2015-03-09,36.78548431396485,0.01156740122339417
2015-03-10,36.081546783447266,-0.01913628551168345
2015-03-11,36.03861999511719,-0.001189715856354856
2015-03-12,35.214481353759766,-0.02286820753594565
2015-03-13,35.523529052734375,0.008776153647414464
