Date,BA,BTC-USD,EURUSD=X,GC=F,MSFT,RELIANCE.NS,^DJI
2014-10-01,108.40666198730467,383.614990234375,1.262833595275879,1214.5999755859375,38.88017654418945,198.40956115722656,16804.7109375
2014-10-02,107.97191619873048,375.0719909667969,1.2624191045761108,1214.199951171875,38.76156997680664,,16801.05078125
2014-10-03,109.8761978149414,359.5119934082031,1.2670577764511108,1192.199951171875,39.04111099243164,,17009.689453125
2014-10-04,,328.8659973144531,,,,,
2014-10-05,,320.510009765625,,,,,
2014-10-06,109.78924560546876,330.0790100097656,1.2513607740402222,1206.699951171875,39.04111099243164,,16991.91015625
2014-10-07,107.2327651977539,336.18701171875,1.264606237411499,1211.699951171875,38.566741943359375,198.1848602294922,16719.390625
2014-10-08,108.67623138427734,352.94000244140625,1.266800880432129,1205.300048828125,39.62557601928711,200.44241333007812,16994.220703125
2014-10-09,106.7458267211914,365.0260009765625,1.2743074893951416,1224.5999755859375,38.83781433105469,204.2835235595703,16659.25
2014-10-10,105.65019989013672,361.56201171875,1.2689067125320437,1221.0,37.2961540222168,205.5674285888672,16544.099609375
2014-10-11,,362.2990112304687,,,,,
2014-10-12,,378.5490112304687,,,,,
2014-10-13,104.73719787597656,390.41400146484375,1.263982892036438,1229.300048828125,36.97426986694336,204.9789581298828,16321.0703125
2014-10-14,106.337158203125,400.8699951171875,1.272394061088562,1233.5999755859375,37.04204177856445,205.69581604003903,16315.1904296875
2014-10-15,104.5110855102539,394.77301025390625,1.2639029026031494,1244.0999755859375,36.61003112792969,205.69581604003903,16141.740234375
2014-10-16,104.5980453491211,382.5559997558594,1.2821663618087769,1240.5,36.20345687866211,199.2227020263672,16117.240234375
2014-10-17,107.16322326660156,383.7579956054687,1.280442476272583,1238.300048828125,36.95734024047851,200.69920349121097,16380.41015625
2014-10-18,,391.4419860839844,,,,,
2014-10-19,,389.5459899902344,,,,,
2014-10-20,108.09363555908205,382.8450012207031,1.274957299232483,1244.0,37.338497161865234,200.08934020996097,16399.669921875
2014-10-21,110.5370635986328,386.4750061035156,1.2795250415802002,1251.0,38.01616668701172,198.86961364746097,16614.810546875
2014-10-22,105.60671997070312,383.1579895019531,1.2714719772338867,1244.800048828125,37.59263229370117,202.3575897216797,16461.3203125
2014-10-23,106.1110610961914,358.4169921875,1.2641425132751465,1228.5,38.134735107421875,,16677.900390625
2014-10-24,106.29366302490234,358.3450012207031,1.2654062509536743,1231.199951171875,39.07498550415039,,16805.41015625
2014-10-25,,347.27099609375,,,,,
2014-10-26,,354.7040100097656,,,,,
2014-10-27,106.1893310546875,352.989013671875,1.2676681280136108,1229.0999755859375,38.88862609863281,201.43746948242188,16817.939453125
2014-10-28,107.4849624633789,357.6180114746094,1.270147681236267,1229.199951171875,39.37993240356445,199.87535095214844,17005.75
